Name,Status,"Page views","Views with visibility","Visibility rate, %","Ad clicks","Ad CTR, %","Ad vCTR, %","Revenue, ‏٠٫٠٠ US$","Ad RPM, ‏٠٫٠٠ US$","Ad vRPM, ‏٠٫٠٠ US$"
raqqa-ruddy.vercel.app,"On moderation",0,0,0,0,0,0,0.00,0.00,0.00
Total:,,0,0,0,0,0,0,0.00,0.00,0.00
